11-25-2025 18:48:51 RAM 1674/7471MB (lfb 619x4MB) SWAP 0/3736MB (cached 0MB) CPU [0%@806,0%@806,0%@806,0%@806,0%@960,0%@872] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305,0] VIC_FREQ 435 APE 200 CV0@-256C CPU@42.656C SOC2@41.937C SOC0@41C CV1@-256C GPU@42.187C tj@42.656C SOC1@42.093C CV2@-256C VDD_IN 4382mW/4382mW VDD_CPU_GPU_CV 486mW/486mW VDD_SOC 1379mW/1379mW
11-25-2025 18:48:51 RAM 1674/7471MB (lfb 619x4MB) SWAP 0/3736MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,25%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305,0] VIC_FREQ 435 APE 200 CV0@-256C CPU@42.656C SOC2@41.937C SOC0@41.093C CV1@-256C GPU@42.343C tj@42.656C SOC1@41.843C CV2@-256C VDD_IN 4382mW/4382mW VDD_CPU_GPU_CV 486mW/486mW VDD_SOC 1379mW/1379mW
11-25-2025 18:48:51 RAM 1674/7471MB (lfb 619x4MB) SWAP 0/3736MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305,0] VIC_FREQ 435 APE 200 CV0@-256C CPU@42.781C SOC2@41.843C SOC0@40.906C CV1@-256C GPU@42C tj@42.781C SOC1@42.031C CV2@-256C VDD_IN 4422mW/4395mW VDD_CPU_GPU_CV 486mW/486mW VDD_SOC 1379mW/1379mW
11-25-2025 18:48:51 RAM 1674/7471MB (lfb 619x4MB) SWAP 0/3736MB (cached 0MB) CPU [20%@729,25%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305,0] VIC_FREQ 435 APE 200 CV0@-256C CPU@42.625C SOC2@41.843C SOC0@41C CV1@-256C GPU@42.312C tj@42.625C SOC1@42.218C CV2@-256C VDD_IN 4422mW/4402mW VDD_CPU_GPU_CV 486mW/486mW VDD_SOC 1379mW/1379mW
11-25-2025 18:48:51 RAM 1674/7471MB (lfb 619x4MB) SWAP 0/3736MB (cached 0MB) CPU [0%@847,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305,0] VIC_FREQ 435 APE 200 CV0@-256C CPU@42.75C SOC2@42C SOC0@41.093C CV1@-256C GPU@42.062C tj@42.75C SOC1@41.968C CV2@-256C VDD_IN 4422mW/4406mW VDD_CPU_GPU_CV 526mW/494mW VDD_SOC 1379mW/1379mW
11-25-2025 18:48:51 RAM 1674/7471MB (lfb 619x4MB) SWAP 0/3736MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305,0] VIC_FREQ 435 APE 200 CV0@-256C CPU@42.906C SOC2@41.937C SOC0@41C CV1@-256C GPU@42.156C tj@42.906C SOC1@42.156C CV2@-256C VDD_IN 4422mW/4408mW VDD_CPU_GPU_CV 526mW/499mW VDD_SOC 1379mW/1379mW
11-25-2025 18:48:51 RAM 1674/7471MB (lfb 619x4MB) SWAP 0/3736MB (cached 0MB) CPU [25%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305,0] VIC_FREQ 435 APE 200 CV0@-256C CPU@42.687C SOC2@41.937C SOC0@41.062C CV1@-256C GPU@42.218C tj@42.687C SOC1@42C CV2@-256C VDD_IN 4422mW/4410mW VDD_CPU_GPU_CV 526mW/503mW VDD_SOC 1379mW/1379mW
11-25-2025 18:48:51 RAM 1674/7471MB (lfb 619x4MB) SWAP 0/3736MB (cached 0MB) CPU [0%@729,20%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305,0] VIC_FREQ 435 APE 200 CV0@-256C CPU@42.718C SOC2@41.906C SOC0@41C CV1@-256C GPU@41.968C tj@42.718C SOC1@42.093C CV2@-256C VDD_IN 4422mW/4412mW VDD_CPU_GPU_CV 526mW/506mW VDD_SOC 1379mW/1379mW
11-25-2025 18:48:51 RAM 1674/7471MB (lfb 619x4MB) SWAP 0/3736MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305,0] VIC_FREQ 435 APE 200 CV0@-256C CPU@42.656C SOC2@41.875C SOC0@41.031C CV1@-256C GPU@41.968C tj@42.656C SOC1@42.187C CV2@-256C VDD_IN 4422mW/4413mW VDD_CPU_GPU_CV 526mW/508mW VDD_SOC 1379mW/1379mW
11-25-2025 18:48:51 RAM 1674/7471MB (lfb 619x4MB) SWAP 0/3736MB (cached 0MB) CPU [0%@1497,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305,0] VIC_FREQ 435 APE 200 CV0@-256C CPU@42.687C SOC2@41.875C SOC0@41.093C CV1@-256C GPU@42C tj@42.687C SOC1@41.968C CV2@-256C VDD_IN 4422mW/4414mW VDD_CPU_GPU_CV 526mW/510mW VDD_SOC 1379mW/1379mW
11-25-2025 18:48:51 RAM 1674/7471MB (lfb 619x4MB) SWAP 0/3736MB (cached 0MB) CPU [25%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305,0] VIC_FREQ 435 APE 200 CV0@-256C CPU@42.843C SOC2@41.843C SOC0@41C CV1@-256C GPU@42.031C tj@42.656C SOC1@42.031C CV2@-256C VDD_IN 4422mW/4414mW VDD_CPU_GPU_CV 526mW/511mW VDD_SOC 1379mW/1379mW
